trade_date,FirstTime,return,label
2005-02-01,2005-03-10,0.016062106813010235,0.0
2005-02-02,2005-03-11,-0.032993630573248445,0.0
2005-02-03,2005-03-01,-0.005176593932245566,-1.0
2005-02-04,2005-03-09,-0.06774632216590426,-1.0
2005-02-16,2005-03-14,-0.05843426145586206,-1.0
2005-02-17,2005-03-15,-0.053380102040816446,-1.0
2005-02-18,2005-03-01,-0.04485199485199487,-1.0
2005-02-21,2005-03-01,-0.0768130364473193,-1.0
2005-02-22,2005-03-10,-0.0863349424433717,-1.0
2005-02-23,2005-03-10,-0.06320197982105469,-1.0
2005-02-24,2005-03-09,-0.06477707006369438,-1.0
2005-02-25,2005-03-15,-0.10164368033251459,-1.0
2005-02-28,2005-03-15,-0.07496271318332137,-1.0
2005-03-01,2005-03-15,-0.06040047424581729,-1.0
2005-03-02,2005-03-15,-0.05791837273807943,-1.0
2005-03-03,2005-03-15,-0.07376144406207386,-1.0
2005-03-04,2005-03-15,-0.06526439944957729,-1.0
2005-03-07,2005-03-11,-0.06403779279574828,-1.0
2005-03-08,2005-03-15,-0.07967741935483863,-1.0
2005-03-09,2005-03-22,-0.09640631216019091,-1.0
2005-03-10,2005-03-22,-0.0818567674998315,-1.0
2005-03-11,2005-03-22,-0.07688139267086636,-1.0
2005-03-14,2005-03-30,-0.07185180140298297,-1.0
2005-03-15,2005-03-22,-0.044654749386610626,-1.0
2005-03-16,2005-03-30,-0.044654749386610626,-1.0
2005-03-17,2005-03-22,-0.053291094684970175,-1.0
2005-03-18,2005-03-22,-0.061221640488656304,-1.0
2005-03-21,2005-04-01,0.0,0.0
2005-03-22,2005-04-01,0.058409157616671425,1.0
2005-03-23,2005-04-01,0.047722815428197674,1.0
2005-03-24,2005-04-01,0.047722815428197674,1.0
2005-03-25,2005-04-01,0.055388892953830204,1.0
2005-03-28,2005-04-01,0.049247108460027444,1.0
2005-03-29,2005-04-01,0.046202944803075185,1.0
2005-03-30,2005-04-01,0.0725758477096965,1.0
2005-03-31,2005-04-28,0.06934068325233911,1.0
2005-04-01,2005-04-07,0.02211591791458689,1.0
2005-04-04,2005-04-07,0.02000573641187442,1.0
2005-04-05,2005-05-11,0.017088517088517108,0.0
2005-04-06,2005-04-20,-0.006980802792321161,-1.0
2005-04-07,2005-04-18,-0.06620090890592134,-1.0
2005-04-08,2005-04-18,-0.0810973167801361,-1.0
2005-04-11,2005-04-20,-0.07746431682637533,-1.0
